 [2012-11-11 16:28:05,384]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:05,852]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:11,821]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:23,396]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:23,601]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:23,866]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:24,153]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:24,324]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:24,546]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:24,745]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:24,872]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:25,031]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:25,177]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:25,294]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:25,414]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:25,552]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:25,736]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:31,164]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:31,438]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:31,653]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:37,544]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:37,661]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:48,727]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:48,877]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:49,048]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:49,201]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:54,705]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:54,868]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:55,144]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:55,714]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:55,881]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:56,038]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:56,172]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:56,463]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:56,623]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:56,799]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:28:56,980]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:13,691]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
